,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
468,468,radish pickled,42,0.5,0.1,0.068,0.2,7.8,3,1.7,3.3,0,1.2,137.3,0,0.054,0.001,0,0.021,0.5,0.3,0.2,0,0,0,0.008,42,0.3,0.3,12,0.072,46.5,499.5,0.054,0.3,55.6
469,469,sweet onion,106,0.3,0,0,0,25,16.6,2.6,3,0,0.063,302,0,0,0.1,0.047,0,0.062,0.4,0.3,0.4,15.9,0,0.038,0.033,66.2,0.2,0.9,29.8,0.3,89.4,393.9,0.067,31.6
470,470,salsify cooked,92,0.2,0,0,0,20.7,3.9,3.7,4.2,0,0.028,109.4,0,0.042,0.031,0,0.2,0.5,0.4,0.3,6.2,0,0.3,0.099,63.5,0.05,0.7,24.3,0.3,75.6,382.1,0.002,0.4,99.2
471,471,radish seeds sprouted,16,1,0.3,0.2,0.4,1.4,0,1.4,0,0,0.067,34.2,0,0.006,0.077,0,0.054,1.1,0.3,0.1,11,0,0,0,19.4,0.07,0.3,16.7,0.082,42.9,32.7,0.073,0.2,34.5
472,472,turnips raw,51,0.2,0.074,0.098,0.04,11.8,7,1.6,3.3,0,0.1,168.1,0,0,0.054,0.083,0,0.047,0.7,0.4,0.2,38.4,0,0.088,0.057,54.9,0.2,0.5,20.1,0.2,49.4,349.5,0.055,17.384
473,473,burdock root raw,85,0.2,0.069,0.056,0.094,20.5,3.4,1.8,3.9,0,0.008,94.5,0,0.021,0.088,0,0.057,0.4,0.4,0.3,3.5,0,0.4,0.061,48.4,0.073,0.9,44.8,0.3,60.2,363.4,0.097,0.4,79.2
474,474,red cabbage cooked,49,0.2,0.058,0.001,0.095,11.8,5.6,2.6,4.4,0,0.047,154.4,0,0,0.1,0.098,0,0.1,0.6,0.3,0.4,18.4,0,0.2,0.049,71.4,0.032,1.1,28.9,0.4,56.1,445.4,0.068,19.534
475,475,jute raw,10,0.046,0,0.026,0.08,1.6,0,1.3,0,0,0.042,24.6,0,0,0.043,0.02,0,0.2,0.4,0.011,0.2,10.4,0,0,0,58.2,0.049,1.3,17.9,0.009,23.2,156.5,0.009,3.197
476,476,hot chile pepper dried,2,0.054,0.001,0.011,0.077,0.3,0.2,0.054,0.1,0,0.041,0.087,0,0.071,0.048,0,0.028,0.085,0.091,0.023,0.2,0,0.079,0.046,0.2,0.016,0.062,0.4,0.076,0.8,9.4,0.043,0.059,1.07
477,477,salsify raw,109,0.3,0,0,0,24.7,0,4.4,4.4,0,0.093,102.4,0,0,0.1,0.066,0,0.3,0.7,0.5,0.4,10.6,0,0,0,79.8,0.1,0.9,30.6,0.4,99.8,505.4,0.06,34.3
478,478,crookneck squash raw,24,0.3,0.1,0.057,0.1,4.9,4.5,1.3,1.3,0,0.047,119.7,0,0.085,0.076,0,0.079,0.6,0.2,0.1,24.5,0,0.2,0.097,26.7,0.1,0.6,25.4,0.2,40.6,281.9,0.094,0.4,59.6
479,479,indian squash cooked,38,0.4,0,0,0,7.6,4.7,0.7,3.5,0,0,226.1,0,0.064,0.098,0,0.016,0.2,0.1,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2
480,480,poi,269,0.3,0.063,0.058,0.1,65.4,0.9,0.9,1,0,0.091,171.9,0,0,0.3,0.08,0,0.031,2.6,0.7,0.7,9.6,0,5.5,0.022,38.4,0.4,2.1,57.6,0.9,93.6,439.2,0.098,68.761
481,481,sesbania flower cooked,22,0.007,0,0,0,5.3,0,1.2,0,0,0.3,97,0,0.028,0.005,0,0.012,0.3,0,0,38.5,0,0,0,22.9,0,0.6,12.5,0,21.8,111.3,0.025,0,68.544
482,482,acorn squash cooked,115,0.3,0.023,0.072,0.1,29.9,0,2.3,9,0,0.5,169.9,0,0.3,0.031,0,0.008,1.8,1,0.4,22.1,0,0,0,90.2,0.2,1.9,88.2,0.5,92.3,895.9,0.07,0.3,155.7
483,483,cauliflower cooked,29,0.6,0.055,0.019,0.3,5.1,2.6,2.3,2.9,0,0.094,115.3,0,0,0.008,0.062,0,0.056,0.5,0.6,0.2,54.9,0,0.004,0.068,19.8,0.041,0.4,11.2,0.2,39.7,176.1,0.059,11.26
484,484,crookneck squash cooked,34,0.7,0.1,0.089,0.2,6.8,4.5,1.9,2,0,0.4,169.7,0,0.072,0.014,0,0.049,0.9,0.6,0.1,20.9,0,0.2,0.002,39.6,0.1,0.7,28.8,0.3,52.2,318.6,0.059,0.4,72.6
485,485,laver seaweed,1,0.012,0.066,0.045,0.052,0.1,0.071,0.2,0.09,0,0.075,2.2,0,0.005,0.089,0,0.096,0.057,0.068,0.013,1,0,0.062,0.052,1.8,0.073,0.087,0.049,0.021,1.5,9.3,0.08,0.09,3.176
486,486,mountain yam cooked,119,0.1,0.014,0.007,0.099,29,0,2.5,0,0,0.4,111.9,0,0.1,0.089,0,0.081,0.2,0.7,0.3,0,0,0,0,11.6,0.2,0.6,14.5,0.4,58,717.8,0.026,0.5,43.8
